You entered a buffer length of 64
-0.96, -0.54, -0.32, -0.70, -0.59, 0.36, 0.00, -0.50, 1.00, -1.12, -0.69, -0.32
-0.92, -0.54, -0.36, -0.71, -0.59, 0.34, 0.00, -0.50, 1.00, -1.12, -0.69, -0.36
-0.92, -0.50, -0.36, -0.72, -0.58, 0.32, 0.00, -0.50, 0.96, -1.12, -0.69, -0.36
-0.92, -0.50, -0.36, -0.73, -0.58, 0.30, 0.00, -0.50, 0.96, -1.12, -0.69, -0.36
-0.88, -0.54, -0.40, -0.75, -0.58, 0.28, 0.00, -0.50, 0.92, -1.12, -0.69, -0.40
-0.84, -0.54, -0.40, -0.76, -0.58, 0.26, 0.00, -0.50, 0.88, -1.12, -0.69, -0.40
-0.84, -0.50, -0.44, -0.77, -0.57, 0.24, 0.00, -0.50, 0.84, -1.12, -0.69, -0.44
-0.84, -0.50, -0.48, -0.78, -0.57, 0.22, -0.04, -0.50, 0.80, -1.12, -0.65, -0.48
-0.84, -0.50, -0.52, -0.80, -0.57, 0.20, -0.16, -0.50, 0.80, -1.12, -0.65, -0.52
-0.88, -0.46, -0.56, -0.81, -0.57, 0.18, -0.28, -0.46, 0.80, -1.12, -0.65, -0.56
-0.84, -0.46, -0.56, -0.82, -0.56, 0.16, -0.28, -0.46, 0.76, -1.12, -0.65, -0.56
-0.84, -0.46, -0.60, -0.82, -0.56, 0.13, -0.28, -0.46, 0.76, -1.12, -0.65, -0.60
-0.84, -0.46, -0.64, -0.83, -0.56, 0.11, -0.28, -0.46, 0.72, -1.12, -0.65, -0.64
-0.84, -0.42, -0.72, -0.84, -0.55, 0.09, -0.28, -0.42, 0.64, -1.12, -0.65, -0.72
-0.88, -0.42, -0.76, -0.85, -0.55, 0.07, -0.28, -0.42, 0.60, -1.12, -0.65, -0.76
-0.88, -0.42, -0.76, -0.86, -0.55, 0.05, -0.36, -0.42, 0.60, -1.12, -0.65, -0.76
-0.84, -0.42, -0.80, -0.87, -0.54, 0.02, -0.40, -0.42, 0.60, -1.12, -0.65, -0.80
-0.80, -0.42, -0.84, -0.87, -0.54, 0.00, -0.40, -0.42, 0.60, -1.12, -0.65, -0.84
-0.72, -0.38, -0.84, -0.87, -0.54, -0.02, -0.40, -0.38, 0.60, -1.12, -0.65, -0.84
-0.68, -0.38, -0.84, -0.87, -0.53, -0.04, -0.40, -0.38, 0.60, -1.12, -0.65, -0.84
-0.60, -0.42, -0.88, -0.87, -0.53, -0.07, -0.40, -0.38, 0.60, -1.12, -0.65, -0.88
-0.56, -0.42, -0.92, -0.87, -0.53, -0.09, -0.40, -0.38, 0.56, -1.12, -0.65, -0.92
