,time(ms),a_x, a_y, a_z
,2673,-0.040000, 0.461538, 0.840000
,2682,-0.040000, 0.461538, 0.840000
,2696,-0.040000, 0.500000, 0.880000
,2706,0.000000, 0.500000, 0.880000
,2714,0.000000, 0.538462, 0.880000
,2727,0.040000, 0.576923, 0.920000
,2735,0.000000, 0.730769, 1.320000
,2745,0.040000, 0.538462, 0.920000
,2753,-0.040000, 0.461538, 0.760000
,2766,-0.040000, 0.461538, 0.720000
,2776,-0.040000, 0.461538, 0.760000
,2784,0.000000, 0.500000, 0.920000
,2798,0.000000, 0.538462, 0.920000
,2807,0.000000, 0.500000, 0.840000
,2815,-0.040000, 0.500000, 0.840000
,2825,-0.040000, 0.500000, 0.840000
,2839,0.000000, 0.500000, 0.840000
,2847,0.040000, 0.500000, 0.840000
,2856,0.000000, 0.538462, 0.840000
,2870,0.000000, 0.538462, 0.880000
,2878,0.000000, 0.538462, 0.960000
,2888,-0.040000, 0.538462, 1.000000
,2901,-0.080000, 0.538462, 1.080000
,2909,-0.080000, 0.500000, 1.080000
,2919,-0.080000, 0.461538, 1.040000
,2927,-0.080000, 0.461538, 1.000000
,2940,-0.080000, 0.461538, 0.960000
,2950,-0.080000, 0.461538, 0.960000
,2958,-0.040000, 0.423077, 1.000000
,2972,0.000000, 0.423077, 1.040000
,2981,0.000000, 0.423077, 1.080000
,2989,-0.080000, 0.423077, 1.080000
,2999,-0.080000, 0.423077, 1.120000
,3013,-0.040000, 0.384615, 1.080000
,3018,-0.040000, 0.346154, 1.000000
,3030,-0.040000, 0.346154, 1.000000
,3040,-0.040000, 0.269231, 0.840000
,3050,-0.040000, 0.230769, 0.800000
,3061,-0.080000, 0.192308, 0.760000
,3071,-0.080000, 0.153846, 0.800000
,3081,-0.120000, 0.153846, 0.880000
,3093,-0.120000, 0.115385, 0.960000
,3102,-0.120000, 0.076923, 1.040000
,3110,-0.120000, 0.076923, 1.080000
,3120,-0.120000, 0.115385, 1.160000
,3134,-0.080000, 0.076923, 1.120000
,3141,-0.080000, 0.076923, 1.000000
,3151,-0.080000, 0.000000, 0.920000
,3165,-0.080000, -0.038462, 0.840000
,3173,-0.040000, -0.076923, 0.800000
,3182,-0.040000, -0.115385, 0.800000
,3190,-0.040000, -0.153846, 0.840000
,3206,-0.120000, -0.192308, 0.880000
,3214,-0.160000, -0.192308, 0.920000
,3222,-0.200000, -0.230769, 0.960000
,3235,-0.160000, -0.192308, 1.000000
,3245,-0.120000, -0.192308, 1.000000
,3259,-0.120000, -0.192308, 1.040000
,3263,-0.080000, -0.192308, 1.040000
,3276,-0.040000, -0.192308, 1.040000
,3284,-0.040000, -0.230769, 0.960000
,3294,-0.040000, -0.269231, 0.920000
,3307,-0.080000, -0.307692, 0.880000
,3315,-0.080000, -0.307692, 0.880000
,3325,-0.040000, -0.307692, 0.920000
,3339,-0.080000, -0.346154, 0.960000
,3347,-0.080000, -0.346154, 1.000000
,3356,-0.120000, -0.384615, 1.000000
,3364,-0.080000, -0.384615, 1.000000
,3378,-0.080000, -0.384615, 1.000000
,3388,-0.040000, -0.423077, 1.000000
,3395,-0.040000, -0.423077, 0.960000
,3405,-0.040000, -0.461538, 0.920000
,3419,-0.040000, -0.461538, 0.880000
,3427,-0.040000, -0.461538, 0.840000
,3436,0.000000, -0.500000, 0.800000
,3450,0.000000, -0.538462, 0.760000
,3458,0.000000, -0.538462, 0.760000
,3468,0.000000, -0.576923, 0.720000
,3483,-0.040000, -0.576923, 0.720000
,3491,0.000000, -0.615385, 0.680000
,3501,0.000000, -0.615385, 0.680000
,3511,0.000000, -0.615385, 0.680000
,3522,0.000000, -0.653846, 0.640000
,3530,-0.040000, -0.653846, 0.600000
,3542,-0.040000, -0.653846, 0.600000
,3552,-0.040000, -0.692308, 0.560000
,3559,-0.040000, -0.692308, 0.600000
,3567,-0.080000, -0.730769, 0.560000
,3582,-0.080000, -0.730769, 0.560000
,3592,-0.120000, -0.730769, 0.520000
,3599,-0.080000, -0.730769, 0.520000
,3613,-0.040000, -0.769231, 0.520000
,3623,0.000000, -0.769231, 0.560000
,3631,-0.040000, -0.730769, 0.600000
,3644,-0.040000, -0.730769, 0.640000
,3652,-0.040000, -0.730769, 0.640000
,3662,-0.040000, -0.692308, 0.680000
,3672,-0.040000, -0.730769, 0.640000
,3685,-0.040000, -0.730769, 0.600000
,3693,-0.040000, -0.730769, 0.600000
,3701,-0.040000, -0.730769, 0.600000
,3711,-0.040000, -0.730769, 0.600000
,3724,-0.080000, -0.730769, 0.680000
,3732,-0.080000, -0.692308, 0.600000
,3742,-0.080000, -0.653846, 0.640000
,3756,0.000000, -0.615385, 0.680000
,3765,0.040000, -0.576923, 0.720000
,3773,0.040000, -0.500000, 0.800000
,3781,0.040000, -0.461538, 0.880000
,3797,0.040000, -0.461538, 0.880000
,3805,0.040000, -0.461538, 0.920000
,3812,0.080000, -0.423077, 0.960000
,3826,0.080000, -0.423077, 0.960000
,3836,0.040000, -0.423077, 0.960000
,3846,0.040000, -0.423077, 0.920000
,3853,0.040000, -0.423077, 0.880000
,3867,0.040000, -0.384615, 0.840000
,3877,0.040000, -0.384615, 0.800000
,3885,0.040000, -0.346154, 0.800000
,3898,0.040000, -0.307692, 0.840000
,3906,0.040000, -0.269231, 0.880000
,3916,0.040000, -0.230769, 0.920000
,3926,0.080000, -0.230769, 1.000000
,3937,0.080000, -0.192308, 1.040000
,3947,0.120000, -0.153846, 1.040000
,3957,0.120000, -0.153846, 1.040000
,3971,0.120000, -0.153846, 1.000000
,3978,0.080000, -0.153846, 0.960000
,3986,0.080000, -0.153846, 0.920000
,4002,0.080000, -0.153846, 0.880000
,4010,0.040000, -0.115385, 0.880000
,4017,-0.040000, -0.076923, 0.920000
,4031,-0.040000, -0.076923, 0.920000
,4041,-0.080000, 0.000000, 0.960000
,4049,-0.040000, 0.000000, 0.960000
,4056,0.040000, 0.038462, 0.960000
,4070,0.080000, 0.038462, 0.920000
,4080,0.040000, 0.038462, 0.880000
,4088,0.040000, 0.038462, 0.880000
,4101,0.040000, 0.076923, 0.880000
,4111,0.000000, 0.115385, 0.960000
,4121,-0.040000, 0.153846, 1.000000
,4129,-0.080000, 0.192308, 1.080000
,4150,-0.040000, 0.192308, 1.040000
,4160,0.000000, 0.230769, 1.000000
,4174,0.040000, 0.230769, 1.000000
,4181,0.040000, 0.230769, 0.960000
,4191,0.040000, 0.269231, 0.920000
,4201,0.080000, 0.307692, 0.960000
,4213,0.080000, 0.307692, 0.960000
,4222,0.040000, 0.346154, 0.960000
,4230,0.040000, 0.346154, 1.000000
,4246,0.040000, 0.384615, 1.040000
,4254,0.040000, 0.384615, 1.040000
,4262,0.000000, 0.423077, 1.000000
,4271,-0.040000, 0.461538, 1.000000
,4285,-0.040000, 0.461538, 0.960000
,4293,0.000000, 0.423077, 0.920000
